# relative source|kind|name or impl signature|reason
hnsw_am.rs|extern|pgcontext_hnsw_begin_scan|guarded PostgreSQL AM callback
hnsw_am.rs|extern|pgcontext_hnsw_build|guarded PostgreSQL AM callback
hnsw_am.rs|extern|pgcontext_hnsw_build_callback|guarded PostgreSQL build visitor
hnsw_am.rs|extern|pgcontext_hnsw_build_empty|guarded PostgreSQL AM callback
hnsw_am.rs|extern|pgcontext_hnsw_bulk_delete|guarded PostgreSQL AM callback
hnsw_am.rs|extern|pgcontext_hnsw_cost_estimate|guarded PostgreSQL AM callback
hnsw_am.rs|extern|pgcontext_hnsw_end_scan|guarded PostgreSQL AM callback
hnsw_am.rs|extern|pgcontext_hnsw_get_bitmap|guarded PostgreSQL AM callback
hnsw_am.rs|extern|pgcontext_hnsw_get_tuple|guarded PostgreSQL AM callback
hnsw_am.rs|extern|pgcontext_hnsw_handler|guarded PostgreSQL AM handler
hnsw_am.rs|extern|pgcontext_hnsw_insert|guarded PostgreSQL AM callback
hnsw_am.rs|extern|pgcontext_hnsw_insert_cleanup|guarded PostgreSQL AM callback
hnsw_am.rs|extern|pgcontext_hnsw_rescan|guarded PostgreSQL AM callback
hnsw_am.rs|extern|pgcontext_hnsw_vacuum_cleanup|guarded PostgreSQL AM callback
hnsw_am.rs|extern|pgcontext_hnsw_validate|guarded PostgreSQL AM callback
hnsw_am.rs|fn|VisibleHeapTidResolver::new|opens PostgreSQL table-AM fetch state for the heap relation owned by a validated index
hnsw_am.rs|fn|candidate_mask_from_heap_tids|parses PostgreSQL array datums and canonicalizes source TIDs through a validated index relation
hnsw_am.rs|fn|hot_root_heap_tids|reads share-locked heap pages and maps visible HOT successors to index root TIDs
hnsw_am.rs|fn|resolve_visible_hnsw_candidates|resolves index candidates through PostgreSQL table-AM visibility under the active snapshot
hnsw_am.rs|fn|copy_rescan_keys|writes a validated PostgreSQL scan-key destination
hnsw_am.rs|fn|ensure_hnsw_opclass_owner|certifies bridge opclass extension ownership from a live index relation
hnsw_am.rs|fn|ensure_hnsw_strategy_operator|reads and releases PostgreSQL syscache tuples
hnsw_am.rs|fn|expand_hnsw_scan|continues a validated live PostgreSQL index scan with a larger bounded candidate budget
hnsw_am.rs|fn|hnsw_dense_from_datum|decodes a datum using its validated PostgreSQL type OID
hnsw_am.rs|fn|hnsw_dense_score_metric|reads live dense operator-class metadata
hnsw_am.rs|fn|hnsw_certified_pgvector_type_oid|resolves an exact public type OID and certifies pgvector extension ownership
hnsw_am.rs|fn|hnsw_index_opcintype|reads a live relation-cache OID array
hnsw_am.rs|fn|hnsw_index_uses_certified_pgvector_type|classifies a live opclass input through certified catalog OIDs
hnsw_am.rs|fn|hnsw_index_opfamily|reads a live relation-cache OID array
hnsw_am.rs|fn|hnsw_insert_via_delta_safe|appends a bounded delta record to a live PostgreSQL index relation and updates its metapage
hnsw_am.rs|fn|hnsw_compact_relation|rebuilds a live PostgreSQL index relation's graph onto fresh pages and republishes its metapage
hnsw_am.rs|fn|lock_hnsw_compaction_table|reads a live index relation's catalog form and locks its parent table against concurrent maintenance
hnsw_am.rs|fn|try_lock_hnsw_compaction_table|locks a live index relation's parent table without waiting, so the write path never blocks
hnsw_am.rs|fn|hnsw_compaction_table_oid|reads a live index relation's catalog form for its parent table OID
hnsw_am.rs|fn|hnsw_compact_on_threshold|compacts a live index relation from the insert path once its delta segment fills
hnsw_am.rs|fn|hnsw_named_type_oid|resolves a schema-qualified type through PostgreSQL syscache metadata
hnsw_am.rs|fn|hnsw_object_owned_by_extension|checks exact extension membership for a PostgreSQL catalog object
