Floor ID|Category|Representation|Semantics|Public maturity|V1 decision|Installed evidence|Owning public contract
PGV-TYPE-VECTOR|type|vector|text I/O and vector(n) typmod|stable|installed|sql/pgcontext--0.1.0.sql#CREATE TYPE Vector|docs/user_guide/parity_matrix.md#pgvector and Qdrant Parity Matrix
PGV-TYPE-HALFVEC|type|halfvec|text I/O and halfvec(n) typmod|experimental|installed|sql/pgcontext--0.1.0.sql#CREATE TYPE HalfVec|docs/user_guide/parity_matrix.md#pgvector and Qdrant Parity Matrix
PGV-TYPE-SPARSEVEC|type|sparsevec|canonical text I/O and sparsevec(n) typmod|experimental|installed|sql/pgcontext--0.1.0.sql#CREATE TYPE SparseVec|docs/user_guide/parity_matrix.md#pgvector and Qdrant Parity Matrix
PGV-TYPE-BITVEC|type|bitvec|text I/O and bitvec(n) typmod|experimental|installed|sql/pgcontext--0.1.0.sql#CREATE TYPE BitVec|docs/user_guide/parity_matrix.md#pgvector and Qdrant Parity Matrix
PGV-CAST-VECTOR|cast|vector|numeric arrays to vector and vector to real array|stable|installed|sql/pgcontext--0.1.0.sql#CREATE CAST (real[] AS vector)|docs/user_guide/parity_matrix.md#pgvector and Qdrant Parity Matrix
PGV-CAST-HALFVEC|cast|halfvec|numeric arrays to halfvec and halfvec to real array or vector|experimental|installed|sql/pgcontext--0.1.0.sql#CREATE CAST (real[] AS halfvec)|docs/user_guide/parity_matrix.md#pgvector and Qdrant Parity Matrix
PGV-CAST-SPARSEVEC|cast|sparsevec|real array and dense vector interchange|experimental|installed|sql/pgcontext--0.1.0.sql#CREATE CAST (real[] AS sparsevec)|docs/user_guide/parity_matrix.md#pgvector and Qdrant Parity Matrix
PGV-CAST-BITVEC|cast|bitvec|boolean array and PostgreSQL bit interchange|experimental|installed|sql/pgcontext--0.1.0.sql#CREATE CAST (bit AS bitvec)|docs/user_guide/parity_matrix.md#pgvector and Qdrant Parity Matrix
PGV-EXACT-VECTOR|exact metric|vector|L2 inner product cosine and L1 operators|stable|installed|sql/pgcontext--0.1.0.sql#CREATE OPERATOR pgcontext.<+>|docs/user_guide/parity_matrix.md#pgvector and Qdrant Parity Matrix
PGV-EXACT-HALFVEC|exact metric|halfvec|L2 inner product cosine and L1 operators|experimental|installed|sql/pgcontext--0.1.0.sql#LEFTARG = halfvec|docs/user_guide/parity_matrix.md#pgvector and Qdrant Parity Matrix
PGV-EXACT-SPARSEVEC|exact metric|sparsevec|L2 inner product cosine and L1 operators|experimental|installed|sql/pgcontext--0.1.0.sql#LEFTARG = sparsevec|docs/user_guide/parity_matrix.md#pgvector and Qdrant Parity Matrix
PGV-EXACT-BITVEC|exact metric|bitvec|Hamming and Jaccard operators|experimental|installed|sql/pgcontext--0.1.0.sql#LEFTARG = bitvec|docs/user_guide/parity_matrix.md#pgvector and Qdrant Parity Matrix
PGV-AGG-VECTOR|aggregate|vector|sum and average|stable|installed|sql/pgcontext--0.1.0.sql#CREATE AGGREGATE pgcontext.sum(vector)|docs/user_guide/parity_matrix.md#pgvector and Qdrant Parity Matrix
PGV-AGG-HALFVEC|aggregate|halfvec|sum and average|experimental|installed|sql/pgcontext--0.1.0.sql#CREATE AGGREGATE pgcontext.sum(halfvec)|docs/user_guide/parity_matrix.md#pgvector and Qdrant Parity Matrix
PGV-AGG-SPARSEVEC|aggregate|sparsevec|sum and average|experimental|installed|sql/pgcontext--0.1.0.sql#CREATE AGGREGATE pgcontext.sum(sparsevec)|docs/user_guide/parity_matrix.md#pgvector and Qdrant Parity Matrix
PGV-AGG-BITVEC|aggregate|bitvec|bitwise OR and AND|experimental|installed|sql/pgcontext--0.1.0.sql#CREATE AGGREGATE pgcontext.bit_or(bitvec)|docs/user_guide/parity_matrix.md#pgvector and Qdrant Parity Matrix
PGV-BTREE-VECTOR|btree opclass|vector|deterministic comparison ordering|stable|installed|sql/pgcontext--0.1.0.sql#CREATE OPERATOR CLASS pgcontext.vector_ops|docs/user_guide/parity_matrix.md#pgvector and Qdrant Parity Matrix
